PLA2;Mtb_protein;Hydrogen_bonds;Salt_bridges;Pi_stacking;Pi_cations;Hydrophobic_contacts;HADDOCK_score;Standard_deviation
P0DKT6;4QLP;5;3;0;0;11;-109,9;4,6
P0DKT6;7WCJ;8;3;0;0;7;-73,7;4,6
P0DKT6;7NVH;6;3;0;0;11;-88,7;5,5
P0DKT6;7UQ0;6;0;0;0;6;-89;2,9
P0DKT6;6DDN;3;2;0;1;7;-72,5;13,8
Q4QT03;4QLP;8;2;0;0;8;-99,2;4,3
Q4QT03;7WCJ;22;6;0;0;5;-66,2;8,9
Q4QT03;7NVH;10;1;0;0;6;-93,6;5,1
Q4QT03;7UQ0;4;1;0;0;11;-93,2;1,9
Q4QT03;6DDN;10;0;0;0;11;-105,4;7,3
P00620;4QLP;17;2;0;0;7;-143,6;2,6
P00620;7WCJ;11;2;0;0;8;-104;4,2
P00620;7NVH;9;1;0;0;10;-177,6;3,8
P00620;7UQ0;7;2;0;1;11;-123,2;1
P00620;6DDN;6;1;0;1;11;-115,3;8,3
P21789;4QLP;12;2;1;0;16;-121,9;5,5
P21789;7WCJ;25;3;0;0;7;-81,7;7,8
P21789;7NVH;7;2;0;2;9;-120,9;6,5
P21789;7UQ0;8;2;0;0;9;-134,1;3,2
P21789;6DDN;10;4;0;0;2;-123,3;10,7
B5U6Z2;4QLP;6;2;0;0;7;-100,3;3,4
B5U6Z2;7WCJ;14;3;0;1;19;-60,1;6,9
B5U6Z2;7NVH;11;3;0;0;2;-81,9;1,6
B5U6Z2;7UQ0;6;1;0;0;15;-130,2;2,5
B5U6Z2;6DDN;13;2;0;0;8;-75,2;7
